0.000, Bid:,0,Ask:,0,
2.750, Bid:,0,Ask:,1,20,1,
7.875, Bid:,1,1,1,Ask:,1,20,1,
8.125, Bid:,1,2,1,Ask:,1,20,1,
8.750, Bid:,1,3,1,Ask:,1,20,1,
11.375, Bid:,1,4,1,Ask:,1,20,1,
12.000, Bid:,1,5,1,Ask:,1,20,1,
12.250, Bid:,1,6,1,Ask:,1,20,1,
13.750, Bid:,1,7,1,Ask:,1,20,1,
14.125, Bid:,1,8,1,Ask:,1,20,1,
14.250, Bid:,2,8,1,17,1,Ask:,1,20,1,
14.500, Bid:,2,8,1,9,1,Ask:,1,20,1,
15.375, Bid:,2,9,1,10,1,Ask:,1,20,1,
15.750, Bid:,2,9,1,11,1,Ask:,1,20,1,
15.875, Bid:,2,11,1,17,1,Ask:,1,20,1,
16.000, Bid:,2,17,1,18,1,Ask:,1,20,1,
16.375, Bid:,2,6,1,18,1,Ask:,1,20,1,
17.250, Bid:,2,6,1,19,1,Ask:,1,20,1,
17.500, Bid:,1,6,1,Ask:,0,
18.000, Bid:,1,11,1,Ask:,0,
18.500, Bid:,1,19,1,Ask:,0,
18.875, Bid:,1,2,1,Ask:,0,
19.875, Bid:,1,2,1,Ask:,1,20,1,
20.000, Bid:,1,2,1,Ask:,0,
20.750, Bid:,1,12,1,Ask:,0,
21.750, Bid:,1,17,1,Ask:,0,
22.875, Bid:,1,8,1,Ask:,0,
24.125, Bid:,1,10,1,Ask:,0,
24.250, Bid:,1,6,1,Ask:,0,
26.625, Bid:,1,11,1,Ask:,0,
28.875, Bid:,1,11,1,Ask:,1,24,1,
30.625, Bid:,2,11,1,13,1,Ask:,1,24,1,
30.750, Bid:,2,11,1,13,1,Ask:,2,20,1,24,1,
30.875, Bid:,2,3,1,13,1,Ask:,2,20,1,24,1,
31.125, Bid:,1,3,1,Ask:,2,20,1,24,1,
31.625, Bid:,1,3,1,Ask:,2,20,1,22,1,
31.875, Bid:,0,Ask:,1,22,1,
32.625, Bid:,0,Ask:,1,21,1,
33.375, Bid:,1,14,1,Ask:,1,21,1,
36.500, Bid:,1,14,1,Ask:,0,
37.250, Bid:,1,14,1,Ask:,1,21,1,
42.500, Bid:,1,14,1,Ask:,2,20,1,21,1,
42.625, Bid:,1,14,1,Ask:,2,20,2,21,1,
43.125, Bid:,1,14,1,Ask:,1,20,3,
44.625, Bid:,2,13,1,14,1,Ask:,1,20,3,
46.125, Bid:,2,4,1,14,1,Ask:,1,20,3,
51.375, Bid:,1,14,2,Ask:,1,20,3,
53.375, Bid:,2,7,1,14,1,Ask:,1,20,3,
54.750, Bid:,2,7,1,14,1,Ask:,1,20,2,
55.750, Bid:,1,14,2,Ask:,1,20,2,
55.875, Bid:,2,1,1,14,1,Ask:,1,20,2,
57.250, Bid:,2,10,1,14,1,Ask:,1,20,2,
57.625, Bid:,2,11,1,14,1,Ask:,1,20,2,
57.875, Bid:,2,14,1,15,1,Ask:,1,20,2,
58.750, Bid:,2,4,1,14,1,Ask:,1,20,2,
59.375, Bid:,2,1,1,14,1,Ask:,1,20,2,
